idx,s,x,y,yaw,kappa,v_ref
0,0.000000,2.257690,-7.190170,0.263974,0.000000,0.800000
1,0.100000,2.354226,-7.164078,0.263974,-0.000000,0.800000
2,0.200000,2.450762,-7.137986,0.263974,-0.000000,0.800000
3,0.300000,2.547298,-7.111894,0.263974,0.000000,0.800000
4,0.400000,2.643834,-7.085802,0.263974,0.000000,0.800000
5,0.500000,2.740370,-7.059711,0.263974,-0.000000,0.800000
6,0.600000,2.836906,-7.033619,0.263974,-0.000000,0.800000
7,0.700000,2.933442,-7.007527,0.263974,0.000000,0.800000
8,0.800000,3.029979,-6.981435,0.263974,-0.000000,0.800000
9,0.900000,3.126515,-6.955343,0.263974,0.000000,0.800000
10,1.000000,3.223051,-6.929251,0.263974,0.000000,0.800000
11,1.100000,3.319587,-6.903159,0.263974,-0.000000,0.800000
12,1.200000,3.416123,-6.877067,0.263974,0.000000,0.800000
13,1.300000,3.512659,-6.850975,0.263974,-0.000000,0.800000
14,1.400000,3.609195,-6.824883,0.263974,0.000000,0.800000
15,1.500000,3.705731,-6.798792,0.263974,-0.000000,0.800000
16,1.600000,3.802267,-6.772700,0.263974,0.000000,0.800000
17,1.700000,3.898803,-6.746608,0.263974,0.000000,0.800000
18,1.800000,3.995339,-6.720516,0.263974,0.000000,0.800000
19,1.900000,4.091875,-6.694424,0.053797,-2.156629,0.800000
20,2.000000,4.188397,-6.689226,-0.265385,-3.314989,0.672674
21,2.100000,4.284896,-6.715454,-0.265385,-0.000000,0.800000
22,2.200000,4.381395,-6.741682,-0.265385,0.000000,0.800000
23,2.300000,4.477894,-6.767910,-0.265385,0.000000,0.800000
24,2.400000,4.574393,-6.794139,-0.265385,0.000000,0.800000
25,2.500000,4.670893,-6.820367,-0.265385,-0.000000,0.800000
26,2.600000,4.767392,-6.846595,-0.265385,0.000000,0.800000
27,2.700000,4.863891,-6.872823,-0.265385,-0.000000,0.800000
28,2.800000,4.960390,-6.899051,-0.265385,0.000000,0.800000
29,2.900000,5.056889,-6.925279,-0.265385,-0.000000,0.800000
30,3.000000,5.153388,-6.951507,-0.265385,0.000000,0.800000
31,3.094499,5.244579,-6.976292,-0.265385,0.000000,0.800000
