idx,s,x,y,yaw,kappa,v_ref
0,0.000000,1.763417,-7.432809,0.347916,0.000000,0.800000
1,0.100000,1.857426,-7.398715,0.347916,0.000000,0.800000
2,0.200000,1.951434,-7.364621,0.347916,-0.000000,0.800000
3,0.300000,2.045443,-7.330527,0.347916,0.000000,0.800000
4,0.400000,2.139451,-7.296433,0.347916,0.000000,0.800000
5,0.500000,2.233460,-7.262339,0.347916,-0.000000,0.800000
6,0.600000,2.327468,-7.228245,0.347916,-0.000000,0.800000
7,0.700000,2.421477,-7.194151,0.347916,0.000000,0.800000
8,0.800000,2.515485,-7.160057,0.346522,-0.013938,0.800000
9,0.900000,2.609539,-7.126095,0.319568,-0.269584,0.800000
10,1.000000,2.704477,-7.094680,0.319568,0.000000,0.800000
11,1.100000,2.799414,-7.063264,0.319568,-0.000000,0.800000
12,1.200000,2.894351,-7.031848,0.319568,0.000000,0.800000
13,1.300000,2.989288,-7.000433,0.319568,-0.000000,0.800000
14,1.400000,3.084225,-6.969017,0.319568,0.000000,0.800000
15,1.500000,3.179162,-6.937601,0.319568,0.000000,0.800000
16,1.600000,3.274099,-6.906186,0.319568,-0.000000,0.800000
17,1.700000,3.369036,-6.874770,0.319568,0.000000,0.800000
18,1.800000,3.463973,-6.843354,0.319568,-0.000000,0.800000
19,1.900000,3.558911,-6.811939,0.319568,-0.000000,0.800000
20,2.000000,3.653848,-6.780523,0.319568,0.000000,0.800000
21,2.100000,3.748785,-6.749107,0.302829,-0.167446,0.800000
22,2.200000,3.844190,-6.719299,0.247080,-0.557973,0.800000
23,2.300000,3.941153,-6.694842,0.247080,0.000000,0.800000
24,2.400000,4.038116,-6.670384,0.247080,-0.000000,0.800000
25,2.500000,4.135079,-6.645927,0.247080,0.000000,0.800000
26,2.600000,4.232042,-6.621469,0.247080,-0.000000,0.800000
27,2.700000,4.329005,-6.597012,0.247080,-0.000000,0.800000
28,2.800000,4.425968,-6.572555,0.247080,0.000000,0.800000
29,2.900000,4.522931,-6.548097,0.247080,0.000000,0.800000
30,3.000000,4.619894,-6.523640,0.119172,-1.295966,0.800000
31,3.100000,4.717248,-6.511983,-0.186014,-3.142269,0.690914
32,3.200000,4.815523,-6.530477,-0.186014,0.000000,0.800000
33,3.300000,4.913798,-6.548971,-0.186014,-0.000000,0.800000
34,3.400000,5.012073,-6.567466,-0.186014,0.000000,0.800000
35,3.500000,5.110348,-6.585960,-0.186014,0.000000,0.800000
36,3.600000,5.208623,-6.604454,-0.186014,-0.000000,0.800000
37,3.700000,5.306898,-6.622949,-0.186014,0.000000,0.800000
38,3.800000,5.405173,-6.641443,-0.186014,0.000000,0.800000
39,3.900000,5.503448,-6.659937,-0.186014,-0.000000,0.800000
40,4.000000,5.601723,-6.678432,-0.186014,0.000000,0.800000
41,4.100000,5.699998,-6.696926,-0.186014,-0.000000,0.800000
42,4.200000,5.798272,-6.715420,-0.186014,0.000000,0.800000
43,4.300000,5.896547,-6.733915,-0.186014,0.000000,0.800000
44,4.400000,5.994822,-6.752409,-0.186014,-0.000000,0.800000
45,4.500000,6.093097,-6.770903,-0.186014,0.000000,0.800000
46,4.600000,6.191372,-6.789398,-0.212117,-0.261294,0.800000
47,4.700000,6.288960,-6.810414,-0.345978,-1.344796,0.800000
48,4.800000,6.383034,-6.844326,-0.345978,-0.000000,0.800000
49,4.900000,6.477109,-6.878237,-0.345978,0.000000,0.800000
50,5.000000,6.571183,-6.912149,-0.345978,-0.000000,0.800000
51,5.100000,6.665258,-6.946061,-0.345978,0.000000,0.800000
52,5.200000,6.759332,-6.979973,-0.345978,-0.000000,0.800000
53,5.300000,6.853406,-7.013884,-0.345978,0.000000,0.800000
54,5.400000,6.947481,-7.047796,-0.345978,-0.000000,0.800000
55,5.500000,7.041555,-7.081708,-0.345978,0.000000,0.800000
56,5.600000,7.135630,-7.115619,-0.345978,-0.000000,0.800000
57,5.700000,7.229704,-7.149531,-0.345978,0.000000,0.800000
58,5.800000,7.323779,-7.183443,-0.345978,-0.000000,0.800000
59,5.900000,7.417853,-7.217355,-0.345978,0.000000,0.800000
60,6.000000,7.511927,-7.251266,-0.345978,-0.000000,0.800000
61,6.100000,7.606002,-7.285178,-0.345978,0.000000,0.800000
62,6.200000,7.700076,-7.319090,-0.345978,-0.000000,0.776209
63,6.300000,7.794151,-7.353001,-0.345978,0.000000,0.634429
64,6.400000,7.888225,-7.386913,-0.345978,0.000000,0.450000
65,6.500000,7.982299,-7.420825,2.623348,1534.891930,0.050000
66,6.600000,7.905520,-7.377043,2.631973,0.094316,0.450000
67,6.700000,7.823182,-7.331027,-0.440423,-7666.604941,0.050000
68,6.800000,7.913640,-7.373660,-0.440423,-0.000000,0.450000
69,6.900000,8.004097,-7.416292,-0.440423,0.000000,0.634429
70,7.000000,8.094554,-7.458924,-0.440423,-0.000000,0.776209
71,7.100000,8.185011,-7.501556,-0.440423,-0.000000,0.800000
72,7.200000,8.275468,-7.544188,-0.440423,0.000000,0.800000
73,7.300000,8.365925,-7.586821,-0.440423,-0.000000,0.800000
74,7.400000,8.456382,-7.629453,-0.440423,0.000000,0.800000
75,7.500000,8.546840,-7.672085,-0.440423,-0.000000,0.800000
76,7.600000,8.637297,-7.714717,-0.440423,-0.000000,0.800000
77,7.700000,8.727754,-7.757349,-0.440423,0.000000,0.800000
78,7.800000,8.818211,-7.799981,-0.440423,0.000000,0.800000
79,7.900000,8.908668,-7.842614,-0.440423,-0.000000,0.800000
80,8.000000,8.999125,-7.885246,-0.205466,2.388618,0.792451
81,8.100000,9.096050,-7.905445,-0.120928,0.850852,0.800000
82,8.200000,9.195319,-7.917509,-0.120928,0.000000,0.800000
83,8.300000,9.294589,-7.929572,-0.120928,0.000000,0.800000
84,8.400000,9.393859,-7.941635,-0.120928,0.000000,0.800000
85,8.500000,9.493128,-7.953699,-0.120928,-0.000000,0.800000
86,8.600000,9.592398,-7.965762,-0.120928,0.000000,0.800000
87,8.700000,9.691668,-7.977825,-0.117908,0.030199,0.800000
88,8.800000,9.790972,-7.989589,-0.110731,0.071770,0.800000
89,8.900000,9.890360,-8.000639,-0.110731,0.000000,0.800000
90,9.000000,9.989748,-8.011690,-0.110731,-0.000000,0.800000
91,9.100000,10.089135,-8.022740,-0.110731,0.000000,0.800000
92,9.200000,10.188523,-8.033791,-0.110731,-0.000000,0.800000
93,9.300000,10.287910,-8.044841,-0.110731,0.000000,0.800000
94,9.400000,10.387298,-8.055892,-0.110731,-0.000000,0.800000
95,9.500000,10.486685,-8.066942,-0.110731,0.000000,0.800000
96,9.600000,10.586073,-8.077992,-0.110731,0.000000,0.800000
97,9.700000,10.685460,-8.089043,-0.110731,-0.000000,0.800000
98,9.800000,10.784848,-8.100093,-0.110731,0.000000,0.800000
99,9.900000,10.884236,-8.111144,-0.110731,0.000000,0.800000
100,10.000000,10.983623,-8.122194,-0.110731,-0.000000,0.800000
101,10.100000,11.083011,-8.133245,-0.110731,-0.000000,0.800000
102,10.200000,11.182398,-8.144295,-0.110731,0.000000,0.796950
103,10.300000,11.281786,-8.155346,-0.110731,-0.000000,0.659643
104,10.400000,11.381173,-8.166396,0.055250,1.822975,0.484901
105,10.500000,11.462192,-8.161915,1.848530,42.699475,0.187428
106,10.600000,11.434775,-8.065748,1.443879,-4.538818,0.484901
107,10.700000,11.445257,-7.983603,0.584296,-10.904811,0.370883
108,10.800000,11.528667,-7.928441,0.584296,0.000000,0.580994
109,10.900000,11.612077,-7.873280,0.584296,0.000000,0.733181
110,11.000000,11.695487,-7.818119,0.584296,0.000000,0.800000
111,11.100000,11.778897,-7.762958,0.584296,-0.000000,0.800000
112,11.200000,11.862307,-7.707796,0.584296,0.000000,0.800000
113,11.300000,11.945717,-7.652635,0.584296,-0.000000,0.800000
114,11.400000,12.029127,-7.597474,0.359563,-2.291384,0.800000
115,11.500000,12.121065,-7.562914,0.200629,-1.611959,0.800000
116,11.600000,12.219059,-7.542986,0.200629,-0.000000,0.800000
117,11.700000,12.317053,-7.523057,0.200629,0.000000,0.800000
118,11.800000,12.415047,-7.503128,0.200629,-0.000000,0.800000
119,11.900000,12.513041,-7.483200,0.200629,0.000000,0.800000
120,12.000000,12.611036,-7.463271,0.200629,-0.000000,0.800000
121,12.100000,12.709030,-7.443343,0.302879,1.027109,0.800000
122,12.200000,12.804034,-7.413655,0.393892,0.913828,0.800000
123,12.300000,12.896376,-7.375276,0.393892,0.000000,0.800000
124,12.400000,12.988719,-7.336897,0.393892,-0.000000,0.800000
125,12.500000,13.081061,-7.298519,0.393892,0.000000,0.800000
126,12.600000,13.173403,-7.260140,0.393892,0.000000,0.800000
127,12.700000,13.265745,-7.221762,0.393892,-0.000000,0.800000
128,12.800000,13.358087,-7.183383,0.393892,0.000000,0.800000
129,12.900000,13.450430,-7.145005,0.393892,-0.000000,0.800000
130,13.000000,13.542772,-7.106626,0.393892,0.000000,0.800000
131,13.100000,13.635114,-7.068248,0.327310,-0.667335,0.800000
132,13.200000,13.729549,-7.036185,0.245890,-0.816433,0.800000
133,13.300000,13.826541,-7.011843,0.245890,0.000000,0.800000
134,13.400000,13.923533,-6.987501,0.245890,0.000000,0.800000
135,13.500000,14.020525,-6.963159,0.245890,-0.000000,0.800000
136,13.600000,14.117517,-6.938817,0.245890,0.000000,0.800000
137,13.700000,14.214509,-6.914475,0.245890,-0.000000,0.800000
138,13.800000,14.311501,-6.890133,0.245890,0.000000,0.800000
139,13.900000,14.408493,-6.865791,0.245890,0.000000,0.800000
140,14.000000,14.505485,-6.841449,0.245890,-0.000000,0.800000
141,14.100000,14.602478,-6.817107,0.245890,0.000000,0.800000
142,14.200000,14.699470,-6.792765,0.245890,0.000000,0.800000
143,14.300000,14.796462,-6.768423,0.245890,-0.000000,0.800000
144,14.400000,14.893454,-6.744081,0.245890,0.000000,0.800000
145,14.500000,14.990446,-6.719739,0.245890,-0.000000,0.800000
146,14.600000,15.087438,-6.695397,0.245890,0.000000,0.800000
147,14.700000,15.184430,-6.671055,0.245890,0.000000,0.800000
148,14.800000,15.281422,-6.646713,0.245890,0.000000,0.800000
149,14.900000,15.378414,-6.622371,0.245890,-0.000000,0.800000
150,15.000000,15.475406,-6.598029,0.245890,0.000000,0.800000
151,15.100000,15.572399,-6.573687,0.245890,-0.000000,0.800000
