id,x,y,z,yaw,v_hint
0,1.763417,-7.432809,-0.001434,,
1,2.604871,-7.127640,-0.001434,,
2,3.821790,-6.724949,-0.001434,,
3,4.687961,-6.506471,-0.001434,,
4,6.273572,-6.804867,-0.001434,,
5,7.987801,-7.422808,-0.001434,,
6,7.820612,-7.329816,-0.001434,,
7,9.023202,-7.896593,-0.001434,,
8,9.761538,-7.986316,-0.001434,,
9,11.466164,-8.175846,-0.001434,,
10,11.416733,-8.002466,-0.001434,,
11,12.063765,-7.574567,-0.001434,,
12,12.755187,-7.433956,-0.001434,,
13,13.685906,-7.047138,-0.001434,,
14,15.908948,-6.489224,-0.001434,,
15,16.683811,-5.753124,-0.001434,,
16,16.946560,-5.622084,-0.001434,,
17,17.322504,-4.868337,-0.001434,,
18,17.563055,-4.593654,-0.001434,,
19,17.566528,-3.224252,-0.001434,,
20,17.179419,-2.294091,0.002533,,
21,17.682240,-2.544592,-0.001434,,
22,17.183672,-1.552436,-0.001434,,
23,16.633938,-1.071602,-0.001434,,
24,16.096323,-0.962224,-0.001434,,
25,15.675204,-0.800935,-0.001434,,
26,15.390261,-0.788331,-0.001434,,
27,14.851386,-0.707430,-0.001434,,
28,14.004109,-0.498758,-0.001434,,
