idx,s,x,y,yaw,kappa,v_ref
0,0.000000,2.336414,-7.314039,0.276235,0.000000,0.800000
1,0.100000,2.432623,-7.286765,0.276235,-0.000000,0.800000
2,0.200000,2.528832,-7.259492,0.276235,-0.000000,0.800000
3,0.300000,2.625041,-7.232218,0.276235,0.000000,0.800000
4,0.400000,2.721250,-7.204945,0.276235,0.000000,0.800000
5,0.500000,2.817459,-7.177671,0.276235,-0.000000,0.800000
6,0.600000,2.913667,-7.150398,0.276235,0.000000,0.800000
7,0.700000,3.009876,-7.123124,0.276235,-0.000000,0.800000
8,0.800000,3.106085,-7.095850,0.276235,0.000000,0.800000
9,0.900000,3.202294,-7.068577,0.276235,0.000000,0.800000
10,1.000000,3.298503,-7.041303,0.276235,0.000000,0.800000
11,1.100000,3.394712,-7.014030,0.276235,-0.000000,0.800000
12,1.200000,3.490921,-6.986756,0.276235,-0.000000,0.800000
13,1.300000,3.587130,-6.959483,0.276235,0.000000,0.800000
14,1.400000,3.683339,-6.932209,0.276235,0.000000,0.800000
15,1.500000,3.779548,-6.904935,0.276235,-0.000000,0.776209
16,1.600000,3.875756,-6.877662,0.276235,-0.000000,0.634429
17,1.700000,3.971965,-6.850388,0.276235,0.000000,0.450000
18,1.800000,4.068174,-6.823115,-2.931963,5675.537488,0.050000
19,1.900000,3.977283,-6.842452,-2.929519,0.025295,0.450000
20,2.000000,3.879523,-6.863501,-2.929519,-0.000000,0.634429
21,2.100000,3.781764,-6.884550,-2.929519,0.000000,0.776209
22,2.200000,3.684004,-6.905599,-2.929519,0.000000,0.680949
23,2.300000,3.586244,-6.926647,-2.929519,-0.000000,0.513509
24,2.400000,3.488485,-6.947696,0.315930,-23.551113,0.252371
25,2.500000,3.532170,-6.933416,0.277448,-0.455122,0.513509
26,2.600000,3.628345,-6.906026,0.277448,0.000000,0.680949
27,2.700000,3.724521,-6.878636,0.277448,-0.000000,0.800000
28,2.800000,3.820697,-6.851246,0.277448,0.000000,0.800000
29,2.900000,3.916873,-6.823855,0.277448,0.000000,0.800000
30,3.000000,4.013048,-6.796465,0.277448,0.000000,0.800000
31,3.100000,4.109224,-6.769075,0.277448,-0.000000,0.800000
32,3.200000,4.205400,-6.741685,0.277448,0.000000,0.800000
33,3.300000,4.301576,-6.714294,0.277448,0.000000,0.800000
34,3.400000,4.397751,-6.686904,0.277448,0.000000,0.800000
35,3.500000,4.493927,-6.659514,0.277448,-0.000000,0.800000
36,3.600000,4.590103,-6.632124,0.277448,0.000000,0.800000
37,3.700000,4.686279,-6.604733,0.277448,0.000000,0.800000
38,3.800000,4.782454,-6.577343,0.277448,0.000000,0.800000
39,3.900000,4.878630,-6.549953,0.277448,0.000000,0.800000
40,4.000000,4.974806,-6.522563,0.277448,-0.000000,0.779889
41,4.100000,5.070982,-6.495172,0.277448,0.000000,0.638926
42,4.200000,5.167157,-6.467782,0.277448,0.000000,0.456318
43,4.300000,5.263333,-6.440392,3.052485,182.341746,0.090699
44,4.400000,5.199798,-6.434715,3.134399,0.952570,0.456318
45,4.500000,5.099800,-6.433996,3.134399,0.000000,0.638926
46,4.600000,4.999803,-6.433277,3.134399,-0.000000,0.635778
47,4.700000,4.899805,-6.432557,3.134399,0.000000,0.451900
48,4.800000,4.799808,-6.431838,-0.449044,355.988216,0.064912
49,4.900000,4.875535,-6.468329,-0.410150,0.419578,0.451900
50,5.000000,4.967241,-6.508204,-0.410150,0.000000,0.635778
51,5.100000,5.058947,-6.548079,-0.410150,-0.000000,0.777312
52,5.200000,5.150653,-6.587953,-0.410150,0.000000,0.800000
53,5.300000,5.242359,-6.627828,-0.410150,0.000000,0.800000
54,5.400000,5.334066,-6.667703,-0.410150,-0.000000,0.800000
55,5.500000,5.425772,-6.707577,-0.410150,-0.000000,0.800000
56,5.600000,5.517478,-6.747452,-0.410150,0.000000,0.800000
57,5.700000,5.609184,-6.787327,-0.410150,0.000000,0.800000
58,5.800000,5.700890,-6.827202,-0.410150,0.000000,0.800000
59,5.900000,5.792596,-6.867076,-0.352266,0.580570,0.800000
60,6.000000,5.886028,-6.901422,-0.194902,1.585390,0.800000
61,6.100000,5.984134,-6.920789,-0.194902,-0.000000,0.800000
62,6.200000,6.082241,-6.940156,-0.194902,-0.000000,0.800000
63,6.300000,6.180348,-6.959523,-0.194902,0.000000,0.800000
64,6.400000,6.278454,-6.978890,-0.194902,0.000000,0.800000
65,6.500000,6.376561,-6.998257,-0.194902,0.000000,0.800000
66,6.600000,6.474668,-7.017624,-0.194902,-0.000000,0.800000
67,6.700000,6.572774,-7.036991,-0.194902,-0.000000,0.800000
68,6.800000,6.670881,-7.056358,-0.194902,0.000000,0.800000
69,6.900000,6.768988,-7.075725,-0.194902,0.000000,0.800000
70,7.000000,6.867094,-7.095092,-0.194902,0.000000,0.800000
71,7.100000,6.965201,-7.114459,-0.194902,-0.000000,0.800000
72,7.200000,7.063308,-7.133826,-0.194902,0.000000,0.800000
73,7.300000,7.161414,-7.153193,-0.194902,0.000000,0.800000
74,7.400000,7.259521,-7.172560,-0.194902,-0.000000,0.800000
75,7.421437,7.280552,-7.176712,-0.194902,0.000000,0.800000
