idx,s,x,y,yaw,kappa,v_ref
0,0.000000,2.336414,-7.314039,0.276239,0.000000,0.800000
1,0.100000,2.432623,-7.286765,0.276230,-0.000096,0.800000
2,0.200000,2.528832,-7.259492,0.276239,0.000096,0.800000
3,0.300000,2.625041,-7.232218,0.276230,-0.000096,0.800000
4,0.400000,2.721250,-7.204945,0.276239,0.000096,0.800000
5,0.500000,2.817458,-7.177671,0.276232,-0.000069,0.800000
6,0.600000,2.913667,-7.150398,0.276239,0.000069,0.800000
7,0.700000,3.009876,-7.123124,0.276239,-0.000000,0.800000
8,0.800000,3.106085,-7.095850,0.276230,-0.000096,0.800000
9,0.900000,3.202294,-7.068577,0.276239,0.000096,0.800000
10,1.000000,3.298503,-7.041303,0.276230,-0.000096,0.800000
11,1.100000,3.394712,-7.014030,0.276239,0.000096,0.800000
12,1.200000,3.490921,-6.986756,0.276230,-0.000096,0.800000
13,1.300000,3.587130,-6.959483,0.276239,0.000096,0.800000
14,1.400000,3.683339,-6.932209,0.276239,0.000000,0.800000
15,1.500000,3.779547,-6.904935,0.276232,-0.000069,0.776209
16,1.600000,3.875756,-6.877662,0.276239,0.000069,0.634429
17,1.700000,3.971965,-6.850388,0.276230,-0.000094,0.450000
18,1.800000,4.068174,-6.823115,-2.931795,18123.875186,0.050000
19,1.900000,3.970366,-6.843941,-2.929517,0.022781,0.450000
20,2.000000,3.872607,-6.864990,-2.929515,0.000018,0.634429
21,2.100000,3.774847,-6.886039,-2.929518,-0.000026,0.776209
22,2.200000,3.677088,-6.907088,-2.929526,-0.000082,0.634429
23,2.300000,3.579328,-6.928136,-2.938055,-0.091237,0.450000
24,2.400000,3.495210,-6.945498,0.292414,-1402.686449,0.050000
25,2.500000,3.590948,-6.916676,0.277446,-0.149692,0.450000
26,2.600000,3.687124,-6.889286,0.277445,-0.000011,0.634429
27,2.700000,3.783300,-6.861896,0.277451,0.000059,0.776209
28,2.800000,3.879476,-6.834506,0.277451,-0.000005,0.800000
29,2.900000,3.975651,-6.807115,0.277446,-0.000043,0.800000
30,3.000000,4.071827,-6.779725,0.277445,-0.000011,0.800000
31,3.100000,4.168003,-6.752335,0.277451,0.000059,0.800000
32,3.200000,4.264179,-6.724945,0.277451,-0.000005,0.800000
33,3.300000,4.360354,-6.697554,0.277446,-0.000043,0.800000
34,3.400000,4.456530,-6.670164,0.277445,-0.000011,0.800000
35,3.500000,4.552706,-6.642774,0.277451,0.000059,0.800000
36,3.600000,4.648882,-6.615384,0.277451,-0.000005,0.800000
37,3.700000,4.745057,-6.587993,0.277446,-0.000043,0.800000
38,3.800000,4.841233,-6.560603,0.277445,-0.000011,0.800000
39,3.900000,4.937409,-6.533213,0.277451,0.000059,0.800000
40,4.000000,5.033585,-6.505823,0.277451,-0.000005,0.672332
41,4.100000,5.129760,-6.478432,0.277446,-0.000043,0.502027
42,4.200000,5.225936,-6.451042,2.540774,28.829134,0.228102
43,4.300000,5.202459,-6.434953,3.132216,6.556951,0.478294
44,4.400000,5.102473,-6.434015,3.134403,0.021869,0.654801
45,4.500000,5.002475,-6.433296,3.134393,-0.000097,0.635439
46,4.600000,4.902478,-6.432576,3.134402,0.000094,0.451423
47,4.700000,4.802480,-6.431857,-0.455649,396.580017,0.061501
48,4.800000,4.887702,-6.473619,-0.410153,0.466737,0.451423
49,4.900000,4.979408,-6.513494,-0.410152,0.000012,0.635439
50,5.000000,5.071114,-6.553369,-0.410145,0.000067,0.777034
51,5.100000,5.162820,-6.593243,-0.410153,-0.000074,0.800000
52,5.200000,5.254526,-6.633118,-0.410149,0.000041,0.800000
53,5.300000,5.346232,-6.672993,-0.410145,0.000033,0.800000
54,5.400000,5.437938,-6.712867,-0.410153,-0.000080,0.800000
55,5.500000,5.529644,-6.752742,-0.410153,-0.000000,0.800000
56,5.600000,5.621350,-6.792617,-0.410152,0.000012,0.800000
57,5.700000,5.713056,-6.832492,-0.402469,0.076841,0.800000
58,5.800000,5.805048,-6.871654,-0.330733,0.718727,0.800000
59,5.900000,5.899490,-6.904080,-0.194903,1.364532,0.800000
60,6.000000,5.997597,-6.923447,-0.194901,0.000017,0.800000
61,6.100000,6.095704,-6.942814,-0.194901,-0.000003,0.800000
62,6.200000,6.193810,-6.962181,-0.194903,-0.000014,0.800000
63,6.300000,6.291917,-6.981548,-0.194901,0.000017,0.800000
64,6.400000,6.390024,-7.000915,-0.194901,-0.000003,0.800000
65,6.500000,6.488130,-7.020282,-0.194903,-0.000014,0.800000
66,6.600000,6.586237,-7.039649,-0.194901,0.000017,0.800000
67,6.700000,6.684344,-7.059016,-0.194901,-0.000003,0.800000
68,6.800000,6.782450,-7.078383,-0.194903,-0.000014,0.800000
69,6.900000,6.880557,-7.097750,-0.194901,0.000017,0.800000
70,7.000000,6.978664,-7.117117,-0.194901,-0.000003,0.800000
71,7.100000,7.076770,-7.136484,-0.194903,-0.000014,0.800000
72,7.200000,7.174877,-7.155851,-0.194903,-0.000004,0.800000
73,7.300000,7.272984,-7.175218,-0.194916,-0.000065,0.800000
74,7.307714,7.280552,-7.176712,-0.194916,0.000000,0.800000
